Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
"5029719_001_002";"France 2";"2013-06-10T19:57:17+01:00";"9";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 19 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 19 heures]";"";"";""
"5029719_001_003";"France 2";"2013-06-10T19:57:26+01:00";"18";"Bande annonce programme : THE CLOSER";"[Interprogrammes F2 de 19 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 19 heures]";"";"";""
"5029719_001_004";"France 2";"2013-06-10T19:57:44+01:00";"10";"Bande annonce programme : MOTS CROISES";"[Interprogrammes F2 de 19 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 19 heures]";"";"";""
"5029719_001_005";"France 2";"2013-06-10T19:57:54+01:00";"12";"Bande annonce programme : AU CLAIR DE LA LUNE";"[Interprogrammes F2 de 19 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 19 heures]";"";"";""
"5029720_001_001";"France 2";"2013-06-10T19:58:09+01:00";"65";"[Plateau début]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_042";"France 2";"2013-06-10T19:59:30+01:00";"0";"[Plateau lancement : Furosémide : des nouveaux cas suspects]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_003";"France 2";"2013-06-10T19:59:53+01:00";"83";"[Furosémide : des nouveaux cas suspects]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Le conditionnement du médicament, le Furosemide, aurait fait trois morts et une quatrième personne dans un état grave. Interviews d'un retraité, du Dr Annick LEGRAS, responsable unité de surveillance au CHU Tours, alternant avec un commentaire sur des images factuelles.";"erreur|conditionnement|industrie pharmaceutique|santé publique|médicament générique|ANSM|laboratoire";"Knock, Jennifer (Journaliste)|Legras, Annick (Participant)|Guillemot, Stéphane (Journaliste reporter d'images)"
"5029720_001_004";"France 2";"2013-06-10T20:01:15+01:00";"18";"[Plateau lancement : L'agence du médicament rappelle tous les lots de Furosémide]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_005";"France 2";"2013-06-10T20:01:34+01:00";"97";"[L'agence du médicament rappelle tous les lots de Furosémide]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. L'Agence du Médicament rappelle tous les lots de Furoméside qui aurait fait trois morts. Interviews d'une pharmacienne, de Marisol TOURAINE, ministre des Affaires Sociales et de la Santé, alternant avec un commentaire sur des images factuelles et d'illustrations.";"erreur|conditionnement|industrie pharmaceutique|santé publique|médicament générique|ANSM|laboratoire";"Chateauneuf, Nicolas (Journaliste)|Rimbert, Baptiste (Monteur)|Touraine, Marisol (Participant)"
"5029720_001_007";"France 2";"2013-06-10T20:03:11+01:00";"43";"[Plateau duplex : Frédérique Prabonnaud]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Entretien en duplex depuis Sens dans l'Yonne avec la journaliste Frédérique PRABONNAUD au sujet de l'Agence du Médicament qui entame une enquête dans l'usine de conditionnement du laboratoire Téva pour trouver l'origine de cette inversion.";"erreur|conditionnement|industrie pharmaceutique|santé publique|enquête de police|médicament générique|ANSM|laboratoire";"Prabonnaud, Frédérique (Journaliste)"
"5029720_001_009";"France 2";"2013-06-10T20:04:15+01:00";"40";"[Plateau analyse : Jean Daniel Flaysakier]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Entretien avec Jean Daniel FLAYSAKIER au sujet de  l'erreur de conditionnement du diurétique Furosémide.";"erreur|conditionnement|industrie pharmaceutique|santé publique|médicament générique|ANSM|laboratoire";"Flaysakier, Jean Daniel (Journaliste)"
"5029720_001_010";"France 2";"2013-06-10T20:05:25+01:00";"26";"[Plateau lancement : Michelin annonce la suppression de postes à Joué les Tours]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_011";"France 2";"2013-06-10T20:05:49+01:00";"96";"[Michelin annonce la suppression de postes à Joué les Tours]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. L'entreprise Michelin annonce la suppression de 730 postes à l'usine de Joué lès Tours en Indre et Loire. Interviews de salariés, de Jean Dominique SENARD, n°1 de Michelin, alternant avec un commentaire sur des images factuelles et d'infographies.";"conflit social|entreprise|licenciement|usine|Indre et Loire|Joué lès Tours|fermeture|restructuration d'entreprise|économie|productivité";"Desbonnets, Laurent (Journaliste)"
"5029720_001_013";"France 2";"2013-06-10T20:07:23+01:00";"91";"[Plateau analyse : Valéry Lerouge]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Entretien avec le journaliste Valéry LEROUGE au sujet du marché de pneus des poids lourds en Europe.";"pneu|entreprise|usine|économie|productivité";"Lerouge, Valéry (Journaliste)"
"5029720_001_014";"France 2";"2013-06-10T20:09:10+01:00";"7";"[Plateau lancement : Arnaud Montebourg réagit à la suppression d'emplois chez Michelin]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_015";"France 2";"2013-06-10T20:09:17+01:00";"22";"[Arnaud Montebourg réagit à la suppression d'emplois chez Michelin]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Entretien avec Arnaud Montebourg, ministre du Redressement productif au sujet de la suppression de postes chez Michelin à Joué les Tours en Indre et Loire.";"conflit social|entreprise|licenciement|usine|Indre et Loire|Joué lès Tours|fermeture|restructuration d'entreprise|économie|productivité";"Montebourg, Arnaud (Participant)"
"5029720_001_040";"France 2";"2013-06-10T20:09:37+01:00";"19";"[Plateau brève : Virgin : Rejet des offres de reprise par le tribunal de commerce]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Brève en images. Le tribunal de commerce de Paris a rejeté les deux offres de reprise de Virgin.";"achat|conflit social|entreprise|licenciement|liquidation judiciaire|plan social|faillite";""
"5029720_001_017";"France 2";"2013-06-10T20:09:53+01:00";"40";"[Plateau duplex : Julien Duperray]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Entretien en duplex depuis l'aéroport d'Orly avec le journaliste Julien DUPERRAY au sujet de la grève des aiguilleurs du ciel à l'aéroport d'Orly.";"transport aérien|conflit social|syndicat|politique sociale|aéroport|grève";""
"5029720_001_018";"France 2";"2013-06-10T20:11:00+01:00";"34";"[Plateau lancement : Des cadres en stage à Saint Cyr]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_019";"France 2";"2013-06-10T20:11:33+01:00";"208";"[Des cadres en stage à Saint Cyr]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Confrontées à une crise du management, de plus en plus d'entreprises et d'institutions font appel à l'armée pour aider cadres et futurs dirigeants à devenir des leaders plus efficaces. Interviews des étudiants à l'école de management de Lyon, d'un commandant, alternant avec un commentaire sur des images factuelles.";"stage|entreprise|étudiant|armée|cadre salarié";"Berkous, Zidène (Journaliste reporter d'images)|Tricornot, Tiphaine de (Journaliste)"
"5029720_001_020";"France 2";"2013-06-10T20:15:01+01:00";"31";"[Plateau lancement : Hugo Clément]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_021";"France 2";"2013-06-10T20:15:23+01:00";"33";"[Plateau duplex : Hugo Clément]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Entretien avec le journaliste Hugo CLEMENT en duplex depuis Evry au sujet de la vingtaine de personnes qui s'étaient ruées sur un wagon, rackettant ou frappant les voyageurs en banlieue parisienne.";"tribunal|agression|délinquance juvénile|fait divers|Essonne|bande de jeunes|vol-infraction|enquête de police|arrestation|RER|Grigny-Essonne";"Clément, Hugo (Journaliste)"
"5029720_001_022";"France 2";"2013-06-10T20:16:07+01:00";"18";"[Plateau lancement : Juge pour enfants]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_023";"France 2";"2013-06-10T20:16:25+01:00";"212";"[Juge pour enfants]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage consacré au quotidien d'un juge pour enfants à Mulhouse. Interviews de mineurs, de Michelle TORECILLAS, juge des enfants, alternant avec un commentaire sur des images factuelles.";"mineur-âge|délinquance|justice|enfant|juge";"Bernuchon, Sarah (Journaliste)"
"5029720_001_024";"France 2";"2013-06-10T20:19:56+01:00";"25";"[Plateau brève : Affaire Tapie : Stéphane Richard placé en garde à vue]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Brève en images. Le PDG d'Orange Stéphane Richard, auditionné par les jufes dans l'affaire de l'arbitrage de Bernard Tapie.";"tribunal|banque|entreprise|garde à vue|scandale financier|verdict|Tapie, Bernard|groupement financier|Richard, Stéphane|audition judiciaire|procédure judiciaire";"Roussel, Vivien (Journaliste reporter d'images)"
"5029720_001_025";"France 2";"2013-06-10T20:20:18+01:00";"37";"[Plateau lancement : Affaire Guéant : enquête préliminaire ouverte sur les primes perçues]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_026";"France 2";"2013-06-10T20:20:33+01:00";"76";"[Affaire Guéant : enquête préliminaire ouverte sur les primes perçues]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Une enquête préliminaire a été ouverte sur les primes en liquide perçues par Claude Guéant. Interview de Claude GUEANT, ancien ministre de l'Intérieur, alternant avec un commentaire sur des images factuelles et d'illustrations.";"prime|scandale financier|scandale politique|instruction judiciaire|Guéant, Claude|police";"Goutard, Audrey (Journaliste)"
"5029720_001_027";"France 2";"2013-06-10T20:21:48+01:00";"19";"[Plateau brève :  Frédéric Lefebvre député des Français d'Amérique du Nord]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Brève en images. Frédéric Lefebvre est élu député des Français d'Amérique du Nord.";"Français à l'étranger|Lefebvre, Frédéric|élection législative";""
"5029720_001_043";"France 2";"2013-06-10T20:22:08+01:00";"0";"[Plateau lancement : Inondations : des milliers d'évacuation en Allemagne]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_028";"France 2";"2013-06-10T20:22:19+01:00";"104";"[Inondations : des milliers d'évacuation en Allemagne]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Les autorités allemandes ont demandé  l'évacuation des habitants à Magdebourg, face à la montée inexorable des eaux. Interviews des habitants, alternant avec un commentarie sur des images factuelles.";"évacuation|mauvais temps|rivière|inondation|météorologie|crue|pluie|fleuve|habitant|Magdebourg|République fédérale d'Allemagne|catastrophe naturelle";"Boutet, Arnaud (Journaliste)"
"5029720_001_029";"France 2";"2013-06-10T20:24:02+01:00";"24";"[Plateau brève : Inondations près du Parlement hongrois]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Brève en images. Inondations près du Parlement hongrois.";"mauvais temps|rivière|inondation|parlement|météorologie|crue|pluie|fleuve|Hongrie|catastrophe naturelle";""
"5029720_001_030";"France 2";"2013-06-10T20:24:27+01:00";"48";"[Plateau : rappel des titres]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_044";"France 2";"2013-06-10T20:24:54+01:00";"0";"[Plateau lancement : Le coût du baccalauréat]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_031";"France 2";"2013-06-10T20:25:15+01:00";"95";"[Le coût du baccalauréat]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Le principal syndicat des chefs d'établissement (SNPDEN) publie une évaluation du coût du baccalauréat. Interviews de Philippe TOURNIER, Proviseur, président du SNPDEN, de Vincent PEILLON, ministre de l'Education Nationale, alternant avec un commentaire sur des images factuelles.";"polémique|syndicat|prix|Education nationale|baccalauréat|enseignement secondaire|examen";"Peillon, Vincent (Participant)|Levy, Daniel (Journaliste reporter d'images)|Ponsinet, Anne (Journaliste)|Tournier, Philippe (Participant)|Rullière, Yves (Monteur)"
"5029720_001_032";"France 2";"2013-06-10T20:26:50+01:00";"24";"[Plateau lancement : Les adultes se préparent aux épreuves du baccalauréat]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_033";"France 2";"2013-06-10T20:27:13+01:00";"172";"[Les adultes se préparent aux épreuves du baccalauréat]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage. Des milliers d'adultes se préparent aux épreuves du baccalauréat. Interviews des adultes, de lycéens, de professeurs, alternant avec un commentaire sur des images factuelles.";"préparatifs|Education nationale|baccalauréat|adulte|enseignement secondaire";"Gouiric, Mariane (Monteur)|Bougault, Manon (Journaliste)|Beretta, Pierre (Journaliste reporter d'images)"
"5029720_001_034";"France 2";"2013-06-10T20:30:06+01:00";"47";"[Plateau lancement : Le permis moins cher avec la conduite accompagnée]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_035";"France 2";"2013-06-10T20:30:53+01:00";"125";"[Le permis moins cher avec la conduite accompagnée]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage consacré à la conduite accompagnée, moins chère et plus efficace pour passer le permis de conduire. Interviews d'une candidate au permis de conduire, d'un moniteur, de Jean Yves SALAUN, délégué général, Association prévention routière,  alternant avec un commentaire sur des images factuelles et d'infographies.";"prix|conduite|permis de conduire|sécurité routière|auto école";"Salaun, Jean Yves (Participant)|Indjeyan, Christian (Monteur)|Tabouri, Nabila (Journaliste)|Dreujou, Mathieu (Journaliste reporter d'images)"
"5029720_001_036";"France 2";"2013-06-10T20:32:58+01:00";"23";"[Plateau lancement : la savane africaine en plein Texas]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_037";"France 2";"2013-06-10T20:33:20+01:00";"179";"[La savane africaine en plein Texas]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage consacré au parc d'animaux exotiques et sauvages du Texas Hunt Lodge. Interviews de chasseurs, alternant avec un commentaire sur des images factuelles.";"chasse|Texas-Etats Unis|Etats Unis|animal|parc naturel";"Burgot, Maryse (Journaliste)"
"5029720_001_038";"France 2";"2013-06-10T20:36:19+01:00";"23";"Plateau lancement : Les coulisses du Château royal d'Amboise]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029720_001_039";"France 2";"2013-06-10T20:36:44+01:00";"185";"[Les coulisses du Château royal d'Amboise]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"Reportage consacré au château royal d'Amboise, dans la vallée de la Loire, est un des trésors de la Renaissance. Interviews de Jean Marie MILLASSEAU, de Philippe GAUTHIER, guide conférencier du château royal d'Amboise, et de Jean Louis SUREAU, Conservateur du château royal, alternant avec un commentaire sur des images factuelles et d'illustrations.";"tourisme|patrimoine|Amboise|château";"Rami, Hicham (Journaliste reporter d'images)|Garcia, Diego (Journaliste)|Sureau, Jean Louis (Participant)|Gouiric, Mariane (Monteur)"
"5029720_001_041";"France 2";"2013-06-10T20:39:47+01:00";"20";"[Plateau fin]";"20 heures : [émission du 10 juin 2013]";"20 heures";"";"";"";""
"5029721_001_001";"France 2";"2013-06-10T20:40:26+01:00";"18";"Bande annonce émission suivante : THE CLOSER";"[Interprogrammes F2 de 20 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 20 heures]";"";"";""
"5029721_001_002";"France 2";"2013-06-10T20:40:44+01:00";"10";"Bande annonce programme : MOTS CROISES";"[Interprogrammes F2 de 20 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 20 heures]";"";"";""
"5029721_001_003";"France 2";"2013-06-10T20:40:54+01:00";"12";"Bande annonce émission : AU CLAIR DE LA LUNE";"[Interprogrammes F2 de 20 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 20 heures]";"";"";""
"5029721_001_004";"France 2";"2013-06-10T20:41:06+01:00";"46";"Bande annonce émission : CASH INVESTIGATION";"[Interprogrammes F2 de 20 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 20 heures]";"";"";""
"5029724_001_001";"France 2";"2013-06-10T20:44:58+01:00";"9";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 20 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 20 heures]";"";"";""
"5029727_001_001";"France 2";"2013-06-10T21:29:18+01:00";"14";"Bande annonce émission suivante : THE CLOSER";"[Interprogrammes F2 de 21 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 21 heures]";"";"";""
"5029727_001_002";"France 2";"2013-06-10T21:29:32+01:00";"9";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 21 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 21 heures]";"";"";""
"5029729_001_001";"France 2";"2013-06-10T21:31:37+01:00";"30";"Bande annonce émission : QUADRILLE";"[Interprogrammes F2 de 21 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 21 heures]";"";"";""
"5029731_001_001";"France 2";"2013-06-10T22:13:14+01:00";"31";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029733_001_001";"France 2";"2013-06-10T22:55:27+01:00";"22";"Bande annonce émission suivante : MOTS CROISES";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029733_001_002";"France 2";"2013-06-10T22:55:49+01:00";"49";"Bande annonce émission (sponsor) : DETECTIVES";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029735_001_001";"France 2";"2013-06-10T22:57:40+01:00";"32";"Pub 2 22h22";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029735_001_002";"France 2";"2013-06-10T22:58:12+01:00";"31";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029735_001_003";"France 2";"2013-06-10T22:58:43+01:00";"9";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 22 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 22 heures]";"";"";""
"5029737_001_001";"France 2";"2013-06-10T24:19:52+01:00";"12";"Bande annonce programme : AU CLAIR DE LA LUNE";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029737_001_002";"France 2";"2013-06-10T24:20:04+01:00";"30";"Bande annonce émission : ENVOYE SPECIAL";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029737_001_003";"France 2";"2013-06-10T24:20:34+01:00";"28";"Bande annonce programme : COMPLEMENT D ENQUETE";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029739_001_001";"France 2";"2013-06-10T24:25:11+01:00";"45";"Pub 2 23h42";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029741_001_001";"France 2";"2013-06-10T24:28:02+01:00";"30";"Bande annonce émission : QUADRILLE";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029742_001_001";"France 2";"2013-06-10T24:28:37+01:00";"83";"FACTUEL FUROSEMIDE + NOUVEAUX CAS SUSPECTS (C10)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Knock, Jennifer (Journaliste)"
"5029742_001_002";"France 2";"2013-06-10T24:30:00+01:00";"4";"AGENCE DU MEDICAMENT LES CONSIGNES";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_003";"France 2";"2013-06-10T24:30:04+01:00";"97";"FACTUEL RAPPEL BOITES FUROSEMIDE (C11)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Chateauneuf, Nicolas (Journaliste)"
"5029742_001_004";"France 2";"2013-06-10T24:31:41+01:00";"4";"MICHELIN BENEFICES ET LICENCIEMENTS";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_005";"France 2";"2013-06-10T24:31:45+01:00";"96";"MICHELIN / SUPPRESSIONS POSTES A JOUE LES TOURS ET EXPLICATION (C14)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Desbonnets, Laurent (Journaliste)"
"5029742_001_006";"France 2";"2013-06-10T24:33:21+01:00";"4";"DIVERS";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_007";"France 2";"2013-06-10T24:33:25+01:00";"90";"VIRGIN / AIGUILLEURS DU CIEL / SNCF / ROUTES DECES EN BAISSE";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Assouly, Jeanne (Journaliste)"
"5029742_001_008";"France 2";"2013-06-10T24:34:55+01:00";"4";"GISORS MALTRAITANCES";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_009";"France 2";"2013-06-10T24:34:59+01:00";"90";"GISORS / MALTRAITANCE";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Assouly, Jeanne (Journaliste)"
"5029742_001_010";"France 2";"2013-06-10T24:36:29+01:00";"4";"AFFAIRE TAPIE GARDES A VUE";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_011";"France 2";"2013-06-10T24:36:33+01:00";"94";"AFFAIRE TAPIE  / STEPHANE RICHARD EN GARDE A VUE (B18)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Hinet, Anne Charlotte (Journaliste)"
"5029742_001_012";"France 2";"2013-06-10T24:38:07+01:00";"4";"C. GUEANT ENQUETE ADMINISTRATIVE";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_013";"France 2";"2013-06-10T24:38:11+01:00";"76";"LA CAGNOTTE DE CLAUDE GUEANT (C24)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Goutard, Audrey (Journaliste)"
"5029742_001_014";"France 2";"2013-06-10T24:39:27+01:00";"4";"CONDUITE ACCOMPAGNEE LES AVANTAGES";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_015";"France 2";"2013-06-10T24:39:31+01:00";"125";"CONDUITE ACCOMPAGNEE MOINS CHERE + AUSSI EFFICACE (C30)";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Tabouri, Nabila (Journaliste)"
"5029742_001_016";"France 2";"2013-06-10T24:41:36+01:00";"4";"EUROPE QUE D'EAU, QUE D'EAU";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_017";"France 2";"2013-06-10T24:41:40+01:00";"72";"INONDATIONS EUROPE";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";"Mousset, Benoît (Journaliste)"
"5029742_001_018";"France 2";"2013-06-10T24:42:52+01:00";"23";"Generique de Fin";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029742_001_019";"France 2";"2013-06-10T24:43:15+01:00";"886";"BOBINE JT DU LUNDI 10 JUIN 2013";"JT nuit : [émission du 10 juin 2013]";"JT nuit";"";"";"";""
"5029744_001_001";"France 2";"2013-06-10T24:44:52+01:00";"50";"Bande annonce émission (sponsor) : DETECTIVES";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5029746_001_001";"France 2";"2013-06-10T24:47:47+01:00";"59";"Baet ftv cap mediterranee";"[Interprogrammes F2 de 0 heure : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 0 heure]";"";"";""
"5031468_001_001";"France 2";"2013-06-10T24:48:47+01:00";"3416";"Dancing is Living";"Au clair de la lune : [programme du 10 juin 2013]";"";"Au clair de la lune";"";"";"Wallecan, Louis (Réalisateur)"
"5031468_001_002";"France 2";"2013-06-10T25:45:43+01:00";"6708";"La Petite Danseuse de Degas";"Au clair de la lune : [programme du 10 juin 2013]";"";"Au clair de la lune";"";"";""
"5031361_001_001";"France 2";"2013-06-10T27:37:31+01:00";"59";"Baet ftv cap mediterranee";"[Interprogrammes F2 de 3 heures : programme du 10 juin 2013]";"";"[Interprogrammes F2 de 3 heures]";"";"";""
"5031363_001_001";"France 2";"2013-06-10T27:40:09+01:00";"3250";"Juste avant la cérémonie ils ont renoncé à se marier : [1ère partie]";"Juste avant la cérémonie ils ont renoncé à se marier";"Toute une histoire";"";"";"";""
"5031363_001_002";"France 2";"2013-06-10T28:34:19+01:00";"1937";"L'histoire continue ...";"Juste avant la cérémonie ils ont renoncé à se marier";"Toute une histoire";"";"";"";""
"5031368_001_001";"France 2";"2013-06-11T05:54:36+01:00";"1363";"[Plateau : 1ère partie]";"Les Z'amours : [émission du 10 juin 2013]";"Les Z'amours";"";"";"";""
"5031368_001_003";"France 2";"2013-06-11T06:17:19+01:00";"30";"Bande annonce émission : ENVOYE SPECIAL";"Les Z'amours : [émission du 10 juin 2013]";"Les Z'amours";"";"";"";""
"5031368_001_004";"France 2";"2013-06-11T06:17:49+01:00";"29";"Bande annonce programme : COMPLEMENT D ENQUETE";"Les Z'amours : [émission du 10 juin 2013]";"Les Z'amours";"";"";"";""
"5031368_001_002";"France 2";"2013-06-11T06:18:18+01:00";"212";"[Plateau : 2ème partie]";"Les Z'amours : [émission du 10 juin 2013]";"Les Z'amours";"";"";"";""
"5031369_001_001";"France 2";"2013-06-11T06:21:50+01:00";"24";"Bande annonce programme : TOUTE UNE HISTOIRE";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031369_001_002";"France 2";"2013-06-11T06:22:14+01:00";"20";"Bande annonce programme : COMMENT CA VA BIEN";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031371_001_001";"France 2";"2013-06-11T06:24:13+01:00";"26";"Message d'intérêt général : WWW.DONDUSANG.NET";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031371_001_002";"France 2";"2013-06-11T06:24:39+01:00";"174";"Pub 2 06h30";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031373_001_001";"France 2";"2013-06-11T06:28:50+01:00";"29";"Bande annonce émission : ENVOYE SPECIAL";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031373_001_002";"France 2";"2013-06-11T06:29:19+01:00";"30";"Bande annonce programme : COMPLEMENT D ENQUETE";"[Interprogrammes F2 de 6 heures : programme du 11 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5031374_001_001";"France 2";"2013-06-11T06:29:49+01:00";"160";"[Plateau : 1ère partie]";"Télématin : [programme du 11 juin 2013]";"";"Télématin";"";"";""
"5031374_001_002";"France 2";"2013-06-11T06:32:29+01:00";"238";"6h30 le journal : [émission du 11 juin 2013]";"Télématin : [programme du 11 juin 2013]";"";"Télématin";"";"";""
"5031375_001_001";"France 2";"2013-06-11T06:32:37+01:00";"9";"Plateau lancement : DUPLEX AEROPORT ROISSY/EMILIE TRAN NGUYEN/gréve controleurs ";"6h30 le journal : [émission du 11 juin 2013]";"6h30 le journal";"Télématin";"";"";""
